site_id,deployment_id,deployment_start,deployment_end,location_id,location_X,location_Y,view_quality,days,Xpl92,Ypl92,wolf,lynx
0,A-01-674,2015-09-17 12:05:00,2015-10-01 10:03:00,674,23.76452,52.68565,Good,13,821871.092923417,546205.078957974,0,0
1,A-01-675,2015-09-17 07:41:00,2015-10-06 10:34:00,675,23.68836,52.6938,Good,19,816670.060773345,546772.450497583,0,0
2,A-01-678,2015-09-17 12:38:00,2015-09-28 12:14:00,678,23.78379,52.645,Good,10,823472.600162209,541775.312817878,0,0
3,A-01-687,2015-09-17 10:04:00,2015-09-28 11:17:00,687,23.68734,52.66531,Good,11,816807.604515103,543602.622126943,0,0
4,A-01-689,2015-09-16 10:05:00,2015-09-29 09:09:00,689,23.90711,52.75214,Good,12,830993.087989937,554239.462467523,8,0
5,A-01-692,2015-09-16 09:16:00,2015-09-30 11:13:00,692,23.74905,52.80108,Good,14,819978.642143533,558960.366857878,3,0
6,A-01-693,2015-09-17 08:07:00,2015-09-27 13:45:00,693,23.73765,52.72429,Good,10,819773.934464637,550378.122871736,0,0
7,A-01-696,2015-09-17 11:01:00,2015-09-28 08:51:00,696,23.69631,52.61676,Good,10,817765.724737357,538248.118428278,0,0
8,A-01-700,2015-09-17 09:38:00,2015-10-06 10:05:00,700,23.65388,52.68002,Good,19,814441.643320503,545090.154931546,0,0
9,A-01-710,2015-09-16 07:46:00,2015-09-30 12:19:00,710,23.81176,52.75149,Good,14,824570.507744642,553732.265469035,0,0
10,A-01-714,2015-09-17 07:04:00,2015-09-28 12:49:00,714,23.79646,52.66535,Good,11,824177.977197789,544093.20222404,0,0
11,A-01-716,2015-09-15 11:26:00,2015-09-29 11:27:00,716,23.63714,52.91304,Good,14,811638.649289972,570907.107428033,0,0
12,A-01-717,2015-09-15 08:56:00,2015-09-29 07:56:00,717,23.65931,52.8229,Good,13,813778.424813277,560988.603447098,0,0
13,A-01-718,2015-09-16 10:36:00,2015-09-30 09:43:00,718,23.69465,52.78222,Good,13,816452.592098683,556623.938834544,1,0
14,A-01-719,2015-09-14 11:42:00,2015-09-28 09:51:00,719,23.5704,52.62043,Good,13,809225.229374956,538107.567064485,2,0
15,A-01-720,2015-09-17 11:18:00,2015-10-15 10:09:00,720,23.6871,52.72286,Good,27,816374.40906896,549995.574868125,0,0
16,A-01-723,2015-09-16 11:29:00,2015-09-25 10:59:00,723,23.9071,52.73514,Good,8,831121.472453399,552350.814613406,6,0
17,A-01-724,2015-09-17 07:38:00,2015-10-01 07:06:00,724,23.77633,52.71132,Good,13,822478.879276988,549109.930727347,0,0
18,A-01-727,2015-09-14 12:03:00,2015-10-02 11:04:00,727,23.57447,52.64522,Good,17,809325.296673739,540879.420948406,2,0
19,A-01-731,2015-09-17 10:15:00,2015-10-01 09:38:00,731,23.6677,52.71328,Good,13,815134.852769782,548845.991485535,0,0
20,A-01-735,2015-09-18 06:58:00,2015-09-28 12:23:00,735,23.76459,52.64786,Good,10,822154.067651562,542006.920621822,0,0
21,A-01-737,2015-09-17 10:45:00,2015-10-14 11:52:00,737,23.66262,52.61692,Good,27,815486.344568365,538117.716680266,0,1
22,A-01-738,2015-09-16 09:40:00,2015-09-30 10:35:00,738,23.73229,52.78448,Good,14,818971.691720495,557041.521036623,0,0
23,A-01-741,2015-09-16 09:02:00,2015-09-29 08:28:00,741,23.87112,52.75614,Good,12,828536.930221166,554518.655354569,3,0
24,A-01-744,2015-09-16 07:28:00,2015-09-29 07:48:00,744,23.83333,52.74328,Good,13,826085.947577067,552917.807732244,1,0
25,A-01-745,2015-09-17 13:23:00,2015-09-26 12:46:00,745,23.73909,52.65992,Good,8,820342.643803305,543232.937829642,0,0
26,A-01-753,2015-09-15 10:05:00,2015-09-29 10:17:00,753,23.65874,52.86019,Good,14,813470.984359635,565129.244304175,1,0
27,A-01-757,2015-09-17 09:32:00,2015-10-01 08:12:00,757,23.70223,52.75268,Good,13,817178.166483841,553375.366442977,0,0
28,A-01-761,2015-09-17 11:28:00,2015-09-28 11:28:00,761,23.6856,52.63686,Good,11,816896.023800318,540434.070956446,1,0
29,A-01-762,2015-09-16 08:59:00,2015-09-30 11:39:00,762,23.79629,52.79733,Good,14,823187.395381642,558755.291017762,0,0
30,A-01-766,2015-09-17 10:33:00,2015-10-14 11:18:00,766,23.66248,52.63159,Good,27,815371.242919127,539747.001029718,0,0
31,A-01-774,2015-09-17 12:07:00,2015-10-09 10:09:00,774,23.75097,52.61515,Good,21,821473.763275598,538311.933157909,2,4
32,A-01-779,2015-09-17 09:57:00,2015-10-01 08:33:00,779,23.66864,52.75453,Good,13,814900.419602876,553433.176540572,0,0
33,A-01-791,2015-09-17 08:42:00,2015-10-01 07:39:00,791,23.73717,52.74691,Good,13,819575.813258268,552889.107328836,1,0
34,A-01-795,2015-09-16 08:07:00,2015-09-29 08:04:00,795,23.84584,52.76137,Good,12,826793.779302759,554984.393724822,0,0
35,A-01-797,2015-09-16 10:53:00,2015-09-30 09:31:00,797,23.66074,52.78629,Good,13,814138.82400313,556927.286128898,0,0
36,A-01-800,2015-09-16 08:23:00,2015-09-30 11:58:00,800,23.76622,52.77026,Good,14,821362.158669634,555612.890032498,0,0
37,A-01-808,2015-09-14 10:42:00,2015-09-28 08:20:00,808,23.65233,52.65248,Good,13,814534.963899095,542023.552694092,8,0
38,A-01-809,2015-09-15 08:38:00,2015-09-30 08:32:00,809,23.62947,52.81999,Good,14,811790.916762974,560535.284039387,0,0
39,A-01-810,2015-09-28 10:51:00,2015-10-02 11:40:00,810,23.58139,52.67473,Good,4,809584.07520416,544187.977046723,0,0
40,A-01-811,2015-09-15 07:41:00,2015-09-30 08:52:00,811,23.64896,52.81009,Good,15,813174.034297845,559520.151175524,1,1
41,A-01-812,2015-09-18 10:23:00,2015-09-29 10:07:00,812,23.87533,52.72595,Good,10,829048.389869409,551183.938049292,2,0
42,A-01-813,2015-09-14 08:05:00,2015-09-28 09:45:00,813,23.91145,52.85737,Good,14,830485.402931391,565949.922190422,0,0
43,A-01-815,2015-09-14 08:50:00,2015-10-12 10:07:00,815,23.89351,52.87327,Good,28,829158.476068258,567633.856663738,0,0
44,A-01-816,2015-09-15 11:47:00,2015-09-29 11:30:00,816,23.60153,52.91704,Good,13,809218.361212492,571197.382963645,5,0
45,A-01-817,2015-09-14 12:12:00,2015-09-29 07:37:00,817,23.86055,52.78138,Good,14,827634.633207009,557274.447672563,3,0
46,A-01-818,2015-09-14 11:41:00,2015-09-29 08:13:00,818,23.92858,52.76268,Good,14,832359.936375347,555509.5121478,0,0
47,A-01-820,2015-09-14 07:08:00,2015-09-23 10:59:00,820,23.92358,52.72487,Good,9,832310.992455757,551285.94640342,0,0
48,A-01-821,2015-09-17 07:27:00,2015-09-28 13:02:00,821,23.78582,52.69369,Good,11,823249.661005998,547193.858865223,0,0
49,A-01-823,2015-09-15 11:07:00,2015-09-29 10:55:00,823,23.60143,52.8969,Good,13,809355.303756165,568959.224464664,2,0
50,A-01-824,2015-09-14 08:30:00,2015-09-28 10:02:00,824,23.9136,52.89635,Good,14,830333.135432985,570290.295337625,3,0
51,A-01-825,2015-09-14 11:23:00,2015-09-29 07:54:00,825,23.9083,52.78052,Good,14,830857.732986055,557397.801073952,0,0
52,A-01-826,2015-09-14 11:26:00,2015-09-28 09:33:00,826,23.57817,52.62609,Good,13,809710.622188394,538769.839737503,0,0
53,A-01-827,2015-09-14 07:46:00,2015-09-23 11:13:00,827,23.89371,52.70064,Good,9,830479.638172401,548456.436472349,0,0
54,A-01-828,2015-09-15 07:09:00,2015-09-30 10:07:00,828,23.69669,52.81509,Good,15,816351.035321312,560284.910033301,0,0
55,A-01-829,2015-09-18 10:43:00,2015-09-29 09:49:00,829,23.87184,52.74207,Good,10,828691.512669965,552958.82970201,4,0
56,A-01-830,2015-09-15 10:50:00,2015-09-29 10:38:00,830,23.64273,52.89072,Good,13,812174.729937674,568451.511663328,0,0
57,A-01-831,2015-09-14 10:23:00,2015-09-28 08:09:00,831,23.60925,52.66294,Good,13,811549.592357487,542998.289656328,1,0
58,A-01-832,2015-09-14 12:34:00,2015-10-12 08:41:00,832,23.85557,52.81285,Good,27,827062.601330548,560747.958672405,6,0
59,A-01-833,2015-09-14 09:20:00,2015-09-28 10:35:00,833,23.85542,52.85376,Good,14,826744.842202567,565292.254109277,4,0
60,A-01-834,2015-09-14 09:42:00,2015-09-28 10:58:00,834,23.84505,52.8759,Good,14,825881.231772457,567704.785414244,2,0
61,A-01-835,2015-09-14 11:06:00,2015-09-29 08:42:00,835,23.90702,52.80907,Good,14,830554.62142869,560563.65288936,3,0
62,A-01-837,2015-09-14 10:44:00,2015-09-28 08:36:00,837,23.87568,52.82835,Good,13,828299.256585515,562561.750843818,13,0
63,A-01-838,2015-09-18 11:46:00,2015-10-05 10:37:00,838,23.82274,52.73049,Good,16,825467.349899932,551448.862874166,3,0
64,A-01-839,2015-09-15 09:31:00,2015-09-29 09:08:00,839,23.65971,52.84309,Good,13,813659.645679181,563233.574067149,6,0
65,A-01-840,2015-09-15 10:27:00,2015-09-30 08:01:00,840,23.63632,52.86835,Good,14,811904.701679381,565938.172527174,0,0
66,A-01-841,2015-09-14 11:02:00,2015-09-28 09:17:00,841,23.62194,52.62027,Good,13,812711.49100095,538312.424531984,0,0
67,A-01-842,2015-09-15 09:49:00,2015-09-29 09:57:00,842,23.69219,52.84574,Good,14,815825.392666682,563670.435903169,0,0
68,A-01-843,2015-09-14 09:32:00,2015-10-14 10:15:00,843,23.59973,52.6965,Good,30,810667.909697788,546685.864407708,2,0
69,A-01-844,2015-09-14 10:15:00,2015-10-04 13:18:00,844,23.82899,52.83002,Good,20,825144.969495508,562534.757719243,1,0
70,A-01-845,2015-09-16 10:08:00,2015-09-30 09:09:00,845,23.6869,52.79627,Good,13,815828.576252946,558150.83761048,2,0
71,A-01-848,2015-09-17 11:54:00,2015-09-28 11:47:00,848,23.71667,52.62455,Good,10,819085.775995603,539203.669539842,0,0
72,A-02-674,2015-10-01 11:04:00,2015-10-15 12:31:00,674,23.76452,52.68565,Good,14,821871.092923417,546205.078957974,0,0
73,A-02-675,2015-10-06 10:38:00,2015-10-20 09:58:00,675,23.68836,52.6938,Good,13,816670.060773345,546772.450497583,0,0
74,A-02-678,2015-09-28 12:17:00,2015-10-06 08:20:00,678,23.78379,52.645,Good,7,823472.600162209,541775.312817878,0,0
75,A-02-687,2015-09-28 11:19:00,2015-10-09 09:34:00,687,23.68734,52.66531,Good,10,816807.604515103,543602.622126943,0,0
76,A-02-689,2015-09-29 09:15:00,2015-10-13 09:12:00,689,23.90711,52.75214,Good,13,830993.087989937,554239.462467523,5,0
77,A-02-692,2015-09-30 17:15:00,2015-10-14 10:12:00,692,23.74905,52.80108,Good,13,819978.642143533,558960.366857878,0,0
78,A-02-693,2015-10-15 09:42:00,2015-10-27 15:56:00,693,23.73765,52.72429,Good,12,819773.934464637,550378.122871736,1,0
79,A-02-696,2015-09-28 08:55:00,2015-10-14 11:34:00,696,23.69631,52.61676,Good,16,817765.724737357,538248.118428278,0,0
80,A-02-700,2015-10-06 10:13:00,2015-10-20 09:43:00,700,23.65388,52.68002,Good,13,814441.643320503,545090.154931546,0,0
81,A-02-710,2015-10-08 15:12:00,2015-10-28 09:56:00,710,23.81176,52.75149,Good,19,824570.507744642,553732.265469035,0,0
82,A-02-714,2015-09-28 12:50:00,2015-10-06 08:02:00,714,23.79646,52.66535,Good,7,824177.977197789,544093.20222404,0,0
83,A-02-716,2015-09-29 12:29:00,2015-10-13 11:02:00,716,23.63714,52.91304,Good,13,811638.649289972,570907.107428033,1,1
84,A-02-717,2015-09-29 11:03:00,2015-10-13 07:07:00,717,23.65931,52.8229,Good,13,813778.424813277,560988.603447098,0,0
85,A-02-718,2015-10-15 07:54:00,2015-10-28 11:36:00,718,23.69465,52.78222,Good,13,816452.592098683,556623.938834544,0,0
86,A-02-719,2015-09-28 12:12:00,2015-10-14 19:14:00,719,23.5704,52.62043,Good,16,809225.229374956,538107.567064485,0,1
87,A-02-720,2015-10-15 10:17:00,2015-10-29 09:55:00,720,23.6871,52.72286,Good,13,816374.40906896,549995.574868125,0,0
88,A-02-723,2015-09-25 11:07:00,2015-10-13 09:30:00,723,23.9071,52.73514,Good,17,831121.472453399,552350.814613406,9,0
89,A-02-724,2015-10-02 04:12:00,2015-10-14 12:08:00,724,23.77633,52.71132,Good,12,822478.879276988,549109.930727347,0,0
90,A-02-727,2015-10-02 11:10:00,2015-10-14 12:49:00,727,23.57447,52.64522,Good,12,809325.296673739,540879.420948406,2,0
91,A-02-731,2015-10-15 12:21:00,2015-10-29 09:36:00,731,23.6677,52.71328,Good,13,815134.852769782,548845.991485535,0,0
92,A-02-735,2015-09-28 12:25:00,2015-10-20 11:11:00,735,23.76459,52.64786,Good,21,822154.067651562,542006.920621822,0,0
93,A-02-737,2015-10-14 11:54:00,2015-11-02 11:05:00,737,23.66262,52.61692,Good,18,815486.344568365,538117.716680266,0,0
94,A-02-738,2015-10-01 16:07:00,2015-10-14 10:29:00,738,23.73229,52.78448,Good,12,818971.691720495,557041.521036623,0,0
95,A-02-741,2015-09-29 08:43:00,2015-10-13 08:41:00,741,23.87112,52.75614,Good,13,828536.930221166,554518.655354569,3,0
96,A-02-744,2015-09-29 07:56:00,2015-10-05 10:25:00,744,23.83333,52.74328,Good,6,826085.947577067,552917.807732244,2,0
97,A-02-745,2015-09-26 12:48:00,2015-10-06 09:38:00,745,23.73909,52.65992,Good,9,820342.643803305,543232.937829642,0,0
98,A-02-753,2015-09-30 00:58:00,2015-10-12 16:22:00,753,23.65874,52.86019,Good,12,813470.984359635,565129.244304175,1,0
99,A-02-757,2015-10-01 14:23:00,2015-10-15 08:42:00,757,23.70223,52.75268,Good,13,817178.166483841,553375.366442977,0,0
100,A-02-761,2015-09-28 11:32:00,2015-10-02 10:20:00,761,23.6856,52.63686,Good,3,816896.023800318,540434.070956446,0,0
101,A-02-762,2015-09-30 12:11:00,2015-10-14 10:59:00,762,23.79629,52.79733,Good,13,823187.395381642,558755.291017762,0,0
102,A-02-766,2015-10-14 11:26:00,2015-11-02 10:40:00,766,23.66248,52.63159,Good,18,815371.242919127,539747.001029718,11,1
103,A-02-774,2015-10-09 10:12:00,2015-10-20 10:54:00,774,23.75097,52.61515,Good,11,821473.763275598,538311.933157909,14,0
104,A-02-779,2015-10-01 08:41:00,2015-10-15 08:18:00,779,23.66864,52.75453,Good,13,814900.419602876,553433.176540572,0,1
105,A-02-791,2015-10-01 07:44:00,2015-10-15 09:20:00,791,23.73717,52.74691,Good,14,819575.813258268,552889.107328836,0,0
106,A-02-795,2015-09-29 08:15:00,2015-10-13 08:18:00,795,23.84584,52.76137,Good,14,826793.779302759,554984.393724822,4,0
107,A-02-797,2015-10-04 11:35:00,2015-10-26 19:26:00,797,23.66074,52.78629,Good,22,814138.82400313,556927.286128898,0,0
108,A-02-800,2015-10-01 08:18:00,2015-10-14 11:17:00,800,23.76622,52.77026,Good,13,821362.158669634,555612.890032498,0,0
109,A-02-808,2015-09-28 08:24:00,2015-10-14 11:04:00,808,23.65233,52.65248,Good,16,814534.963899095,542023.552694092,2,0
110,A-02-809,2015-09-30 08:39:00,2015-10-13 08:43:00,809,23.62947,52.81999,Good,13,811790.916762974,560535.284039387,3,0
111,A-02-810,2015-10-02 11:43:00,2015-10-14 10:37:00,810,23.58139,52.67473,Good,11,809584.07520416,544187.977046723,2,2
112,A-02-811,2015-10-01 05:18:00,2015-10-14 08:35:00,811,23.64896,52.81009,Good,13,813174.034297845,559520.151175524,2,1
113,A-02-812,2015-09-29 10:12:00,2015-10-13 10:12:00,812,23.87533,52.72595,Good,14,829048.389869409,551183.938049292,0,1
114,A-02-813,2015-09-28 09:51:00,2015-10-10 12:25:00,813,23.91145,52.85737,Good,12,830485.402931391,565949.922190422,1,1
115,A-02-815,2015-10-13 07:55:00,2015-10-26 11:17:00,815,23.89351,52.87327,Good,13,829158.476068258,567633.856663738,0,0
116,A-02-816,2015-09-29 14:13:00,2015-10-13 11:01:00,816,23.60153,52.91704,Good,13,809218.361212492,571197.382963645,6,0
117,A-02-817,2015-09-29 07:45:00,2015-10-12 07:15:00,817,23.86055,52.78138,Good,12,827634.633207009,557274.447672563,0,0
118,A-02-818,2015-09-29 10:45:00,2015-10-12 07:50:00,818,23.92858,52.76268,Good,12,832359.936375347,555509.5121478,4,0
119,A-02-820,2015-09-23 11:02:00,2015-09-25 07:23:00,820,23.92358,52.72487,Good,1,832310.992455757,551285.94640342,0,0
120,A-02-821,2015-09-28 13:03:00,2015-10-02 09:39:00,821,23.78582,52.69369,Good,3,823249.661005998,547193.858865223,0,0
121,A-02-823,2015-09-30 03:39:00,2015-10-13 10:33:00,823,23.60143,52.8969,Good,13,809355.303756165,568959.224464664,3,0
122,A-02-824,2015-09-28 10:37:00,2015-10-06 00:38:00,824,23.9136,52.89635,Good,7,830333.135432985,570290.295337625,0,0
123,A-02-825,2015-09-29 08:02:00,2015-10-12 07:34:00,825,23.9083,52.78052,Good,12,830857.732986055,557397.801073952,0,2
124,A-02-826,2015-09-28 09:34:00,2015-10-14 12:21:00,826,23.57817,52.62609,Good,16,809710.622188394,538769.839737503,0,0
125,A-02-827,2015-09-23 11:16:00,2015-09-29 10:59:00,827,23.89371,52.70064,Good,5,830479.638172401,548456.436472349,0,0
126,A-02-828,2015-10-15 07:40:00,2015-10-27 09:14:00,828,23.69669,52.81509,Good,12,816351.035321312,560284.910033301,7,0
127,A-02-829,2015-09-29 09:54:00,2015-10-13 09:56:00,829,23.87184,52.74207,Good,14,828691.512669965,552958.82970201,0,1
128,A-02-830,2015-10-02 01:50:00,2015-10-13 10:18:00,830,23.64273,52.89072,Good,11,812174.729937674,568451.511663328,0,0
129,A-02-831,2015-09-28 08:12:00,2015-10-02 11:27:00,831,23.60925,52.66294,Good,4,811549.592357487,542998.289656328,0,0
130,A-02-832,2015-10-16 06:17:00,2015-10-26 13:29:00,832,23.85557,52.81285,Good,10,827062.601330548,560747.958672405,0,0
131,A-02-833,2015-09-28 10:42:00,2015-10-12 10:24:00,833,23.85542,52.85376,Good,13,826744.842202567,565292.254109277,3,0
132,A-02-834,2015-10-13 07:56:00,2015-10-26 12:01:00,834,23.84505,52.8759,Good,13,825881.231772457,567704.785414244,0,0
133,A-02-835,2015-09-30 12:58:00,2015-10-12 08:16:00,835,23.90702,52.80907,Good,11,830554.62142869,560563.65288936,4,0
134,A-02-837,2015-09-28 17:09:00,2015-10-09 07:52:00,837,23.87568,52.82835,Good,10,828299.256585515,562561.750843818,6,0
135,A-02-838,2015-10-05 10:40:00,2015-10-13 07:50:00,838,23.82274,52.73049,Good,7,825467.349899932,551448.862874166,0,0
136,A-02-839,2015-09-29 10:22:00,2015-10-13 09:08:00,839,23.65971,52.84309,Good,13,813659.645679181,563233.574067149,3,0
137,A-02-840,2015-10-14 08:05:00,2015-10-14 08:45:00,840,23.63632,52.86835,Good,0,811904.701679381,565938.172527174,0,0
138,A-02-841,2015-09-28 09:19:00,2015-10-02 10:45:00,841,23.62194,52.62027,Good,4,812711.49100095,538312.424531984,0,0
139,A-02-842,2015-09-29 10:15:00,2015-10-13 09:28:00,842,23.69219,52.84574,Good,13,815825.392666682,563670.435903169,0,0
140,A-02-843,2015-10-14 10:18:00,2015-10-23 08:01:00,843,23.59973,52.6965,Good,8,810667.909697788,546685.864407708,3,0
